title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"10,000 BC",movie,"Action, Adventure, Drama",2008,tt0443649,5.1,137078,
Shine,movie,"Biography, Drama, Music",1996,tt0117631,7.6,57596,
"Before the Devil Knows You're Dead",movie,"Crime, Drama, Thriller",2007,tt0292963,7.3,115468,
"The Match Factory Girl",movie,"Comedy, Crime, Drama",1990,tt0098532,7.5,12526,
"The Three Burials of Melquiades Estrada",movie,"Adventure, Crime, Drama",2005,tt0419294,7.3,42381,
"Band of Outsiders",movie,"Comedy, Crime, Drama",1964,tt0057869,7.6,27779,
"Napoleon Dynamite",movie,Comedy,2004,tt0374900,7,244952,
"Æon Flux",movie,"Action, Adventure, Sci-Fi",2005,tt0402022,5.4,134540,
"Drifting Clouds",movie,"Comedy, Drama",1996,tt0116752,7.6,9707,
Kika,movie,Comedy,1993,tt0107315,6.5,15486,
"Step Up 2: The Streets",movie,"Drama, Music, Romance",2008,tt1023481,6.2,92498,
REC,movie,"Horror, Mystery, Thriller",2007,tt1038988,7.4,205018,
"My Big Fat Greek Wedding",movie,"Comedy, Drama, Romance",2002,tt0259446,6.6,147501,
"Cast Away",movie,"Adventure, Drama, Romance",2000,tt0162222,7.8,658809,
"Transformers: Revenge of the Fallen",movie,"Action, Adventure, Sci-Fi",2009,tt1055369,6,438520,
"The Boondock Saints",movie,"Action, Crime, Thriller",1999,tt0144117,7.6,255242,
"The Conformist",movie,Drama,1970,tt0065571,7.9,36014,
"Swallowtail Butterfly",movie,"Crime, Drama",1996,tt0117797,7.5,4599,
"Deep Impact",movie,"Action, Drama, Sci-Fi",1998,tt0120647,6.3,195579,
"K-19: The Widowmaker",movie,"Drama, History, Thriller",2002,tt0267626,6.7,69197,
"Cannibals in the Streets",movie,"Drama, Fantasy, Horror",1980,tt0080379,5.5,4531,
"The Final Countdown",movie,"Action, Adventure, Sci-Fi",1980,tt0080736,6.7,28143,
"Hellraiser: Bloodline",movie,"Horror, Sci-Fi",1996,tt0116514,5.1,25528,
"The Road Warrior",movie,"Action, Adventure, Sci-Fi",1981,tt0082694,7.6,206133,
"Conspiracy Theory",movie,"Action, Drama, Mystery",1997,tt0118883,6.7,109871,
"Under Siege",movie,"Action, Thriller",1992,tt0105690,6.5,98175,
"Red Planet",movie,"Action, Sci-Fi, Thriller",2000,tt0199753,5.7,60667,
"Che: Part Two",movie,"Biography, Drama, History",2008,tt0374569,6.8,35597,
"Che: Part One",movie,"Biography, Drama, History",2008,tt0892255,7.1,48668,
"Deep Blue Sea",movie,"Action, Adventure, Sci-Fi",1999,tt0149261,5.9,146427,
"Jeepers Creepers",movie,"Horror, Mystery",2001,tt0263488,6.2,148576,
Hellraiser,movie,"Horror, Thriller",1987,tt0093177,6.9,146443,
"The Great Silence",movie,"Drama, Western",1968,tt0063032,7.7,18927,
"What Happens in Vegas",movie,"Comedy, Romance",2008,tt1033643,6.1,191002,
"Police Story",movie,"Action, Comedy, Crime",1985,tt0089374,7.5,43973,
"Hellbound: Hellraiser II",movie,"Horror, Thriller",1988,tt0095294,6.4,58117,
"Hot Shots! Part Deux",movie,"Action, Comedy",1993,tt0107144,6.6,99801,
Eraser,movie,"Action, Crime, Thriller",1996,tt0116213,6.2,120617,
"Femme Fatale",movie,"Crime, Drama, Mystery",2002,tt0280665,6.2,38339,
"Ghost in the Shell",movie,"Action, Animation, Crime",1995,tt0113568,7.9,163052,
"Clear and Present Danger",movie,"Action, Crime, Drama",1994,tt0109444,6.9,111211,
"Transporter 2",movie,"Action, Thriller",2005,tt0388482,6.3,219740,
"The Goonies",movie,"Adventure, Comedy, Family",1985,tt0089218,7.7,309353,
"Mad Max Beyond Thunderdome",movie,"Action, Adventure, Sci-Fi",1985,tt0089530,6.2,157066,
"One Hour Photo",movie,"Drama, Thriller",2002,tt0265459,6.8,135126,
"Thank You for Smoking",movie,"Comedy, Drama",2005,tt0427944,7.5,231634,
"The Full Monty",movie,"Comedy, Drama",1997,tt0119164,7.2,116395,
"Brassed Off",movie,"Comedy, Drama, Music",1996,tt0115744,7.2,21448,
"The Crow: Salvation",movie,"Action, Crime, Fantasy",2000,tt0132910,4.9,13228,
"Black Mask",movie,"Action, Adventure, Comedy",1996,tt0115693,6,12568,
"Enter the Dragon",movie,"Action, Crime, Thriller",1973,tt0070034,7.6,115705,
"The Way of the Dragon",movie,"Action, Adventure, Comedy",1972,tt0068935,7.2,42455,
"Dodgeball: A True Underdog Story",movie,"Comedy, Sport",2004,tt0364725,6.7,274113,
"South Park: Bigger, Longer & Uncut",movie,"Animation, Comedy, Fantasy",1999,tt0158983,7.7,219134,
Daredevil,movie,"Action, Crime",2003,tt0287978,5.3,234052,
