title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"The Running Man",movie,"Action, Sci-Fi, Thriller",1987,tt0093894,6.6,172270,US
"Finding Neverland",movie,"Biography, Drama, Family",2004,tt0308644,7.7,213859,US
Sliver,movie,"Drama, Thriller",1993,tt0108162,5.1,34993,"AT, CH, DE, FR, GB, IE, IT"
Tsotsi,movie,"Crime, Drama",2005,tt0468565,7.2,31864,DE
Hook,movie,"Adventure, Comedy, Family",1991,tt0102057,6.8,279428,US
"Coffee and Cigarettes",movie,"Comedy, Drama, Music",2003,tt0379217,7,68613,DE
Crash,movie,Drama,1996,tt0115964,6.4,68300,AU
"The Flintstones",movie,"Comedy, Family, Fantasy",1994,tt0109813,5,88321,AU
"The Flintstones in Viva Rock Vegas",movie,"Comedy, Family, Romance",2000,tt0158622,3.7,26028,AU
Delicatessen,movie,"Comedy, Crime",1991,tt0101700,7.5,91482,"AT, CH, DE, FR, GB"
"Bringing Up Baby",movie,Comedy,1938,tt0029947,7.8,67479,"DE, US"
"City Lights",movie,"Comedy, Drama, Romance",1931,tt0021749,8.5,203830,DE
"Pandora's Box",movie,"Crime, Drama, Romance",1929,tt0018737,7.7,12235,GB
"The Thomas Crown Affair",movie,"Crime, Drama, Romance",1968,tt0063688,6.9,29289,BR
"The Great Dictator",movie,"Comedy, Drama, War",1940,tt0032553,8.4,245573,DE
"Mother India",movie,"Action, Comedy, Drama",1957,tt0050188,7.8,10031,"AU, IN, US"
"Dead Man",movie,"Adventure, Comedy, Drama",1995,tt0112817,7.5,105010,DE
"Dawn of the Dead",movie,Horror,2004,tt0363547,7.2,278714,"AU, US"
"Do the Right Thing",movie,"Comedy, Drama",1989,tt0097216,7.9,116029,US
