title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Evil Dead II",movie,"Comedy, Horror",1987,tt0092991,7.7,188051,
"Army of Darkness",movie,"Comedy, Horror",1992,tt0106308,7.4,200608,
"A Trip to the Moon",movie,"Adventure, Comedy, Fantasy",1902,tt0000417,8.1,57900,
"The Rules of the Game",movie,"Comedy, Drama",1939,tt0031885,7.9,32179,
"The Grand Illusion",movie,"Drama, War",1937,tt0028950,8.1,39872,
"Monsieur Hulot's Holiday",movie,Comedy,1953,tt0046487,7.3,20854,
Vampyr,movie,"Fantasy, Horror",1932,tt0023649,7.4,21476,
"The Passion of Joan of Arc",movie,"Biography, Drama, History",1928,tt0019254,8.1,63645,
Gandhi,movie,"Biography, Drama, History",1982,tt0083987,8,242791,
"The Fog",movie,"Horror, Thriller",1980,tt0080749,6.8,86723,
Persona,movie,"Drama, Thriller",1966,tt0060827,8,134850,
"Annaluise & Anton",movie,"Comedy, Drama, Family",1999,tt0161935,7,1086,
"Roman Holiday",movie,"Comedy, Drama, Romance",1953,tt0046250,8,151260,
"Rosemary's Baby",movie,"Drama, Horror",1968,tt0063522,8,246006,
Shrek,movie,"Adventure, Animation, Comedy",2001,tt0126029,7.9,762586,
"Shrek 2",movie,"Adventure, Animation, Comedy",2004,tt0298148,7.4,523533,
"Shrek the Third",movie,"Adventure, Animation, Comedy",2007,tt0413267,6.1,343088,
Airplane!,movie,Comedy,1980,tt0080339,7.7,270593,
"An American Werewolf in London",movie,"Comedy, Horror",1981,tt0082010,7.5,127086,
"Animal Farm",movie,"Comedy, Drama, Family",1999,tt0204824,6,6634,
JFK,movie,"Drama, History, Thriller",1991,tt0102138,8,174836,
"The Bridge on the River Kwai",movie,"Adventure, Drama, War",1957,tt0050212,8.1,239654,
Chinatown,movie,"Drama, Mystery, Thriller",1974,tt0071315,8.1,361369,
M,movie,"Crime, Mystery, Thriller",1931,tt0022100,8.3,175131,
Dune,movie,"Action, Adventure, Sci-Fi",1984,tt0087182,6.3,186056,
Dragonslayer,movie,"Action, Adventure, Fantasy",1981,tt0082288,6.6,20663,
"Enemy at the Gates",movie,"Action, Drama, War",2001,tt0215750,7.5,283394,
"Black Hawk Down",movie,"Action, Drama, History",2001,tt0265086,7.7,434986,
"Saving Private Ryan",movie,"Drama, War",1998,tt0120815,8.6,1550996,
WarGames,movie,"Action, Drama, Sci-Fi",1983,tt0086567,7.1,115166,
"Total Recall",movie,"Action, Adventure, Sci-Fi",1990,tt0100802,7.5,364512,
"The Running Man",movie,"Action, Sci-Fi, Thriller",1987,tt0093894,6.6,172915,
"Finding Neverland",movie,"Biography, Drama, Family",2004,tt0308644,7.7,214126,
Tsotsi,movie,"Crime, Drama",2005,tt0468565,7.2,31909,
Hook,movie,"Adventure, Comedy, Family",1991,tt0102057,6.8,280257,
"Coffee and Cigarettes",movie,"Comedy, Drama, Music",2003,tt0379217,7,68803,
"The Flintstones",movie,"Comedy, Family, Fantasy",1994,tt0109813,5,88641,
"The Flintstones in Viva Rock Vegas",movie,"Comedy, Family, Romance",2000,tt0158622,3.7,26121,
Delicatessen,movie,"Comedy, Crime",1991,tt0101700,7.5,91740,
"Birdman of Alcatraz",movie,"Biography, Crime, Drama",1962,tt0055798,7.8,20025,
"Bringing Up Baby",movie,Comedy,1938,tt0029947,7.8,67689,
