title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Hannibal Rising",movie,"Adventure, Crime, Drama",2007,tt0367959,6.1,118764,
"Letters from Iwo Jima",movie,"Action, Adventure, Drama",2006,tt0498380,7.8,173266,
"The Host",movie,"Drama, Horror, Sci-Fi",2006,tt0468492,7.1,137656,
"Street Kings",movie,"Action, Crime, Thriller",2008,tt0421073,6.8,123398,
300,movie,"Action, Drama",2006,tt0416449,7.6,887062,
"The Dreamers",movie,"Drama, Romance",2003,tt0309987,7.1,136949,
"American Psycho",movie,"Crime, Drama, Horror",2000,tt0144084,7.6,771331,
"Sex and Lucía",movie,"Drama, Romance",2001,tt0254455,7,39649,
"Blood Diamond",movie,"Adventure, Drama, Thriller",2006,tt0450259,8,604389,
"Lights in the Dusk",movie,"Crime, Drama",2006,tt0458242,6.8,8397,
"Y tu mamá también",movie,Drama,2001,tt0245574,7.7,133660,
Nostalghia,movie,Drama,1983,tt0086022,7.9,31470,
"La Vie En Rose",movie,"Biography, Drama, Music",2007,tt0450188,7.5,92170,
"The Departed",movie,"Crime, Drama, Thriller",2006,tt0407887,8.5,1477809,
"The Virgin Suicides",movie,"Drama, Romance",1999,tt0159097,7.2,177672,
Immortality,movie,"Crime, Mystery, Romance",1998,tt0120894,6.2,6320,
"Miss Congeniality",movie,"Action, Comedy, Crime",2000,tt0212346,6.3,238823,
"The Last King of Scotland",movie,"Biography, Drama, History",2006,tt0455590,7.6,200429,
"Spy Game",movie,"Action, Crime, Thriller",2001,tt0266987,7.1,171881,
Collateral,movie,"Action, Crime, Drama",2004,tt0369339,7.5,446610,
"Office Space",movie,Comedy,1999,tt0151804,7.6,297688,
"Live Free or Die Hard",movie,"Action, Thriller",2007,tt0337978,7.1,428133,
"Die Hard with a Vengeance",movie,"Action, Adventure, Thriller",1995,tt0112864,7.6,419011,
"Die Hard 2",movie,"Action, Thriller",1990,tt0099423,7.1,395287,
Chicago,movie,"Comedy, Crime, Musical",2002,tt0299658,7.2,249360,
Apocalypto,movie,"Action, Adventure, Drama",2006,tt0472043,7.8,343118,
"What's Eating Gilbert Grape",movie,Drama,1993,tt0108550,7.7,260897,
"Bring It On",movie,"Comedy, Romance, Sport",2000,tt0204946,6.2,109559,
"The Island",movie,"Action, Sci-Fi, Thriller",2005,tt0399201,6.8,333490,
"Speed 2: Cruise Control",movie,"Action, Adventure, Crime",1997,tt0120179,4,87977,
Crash,movie,"Crime, Drama, Thriller",2004,tt0375679,7.7,454690,
"A Time to Kill",movie,"Crime, Drama, Thriller",1996,tt0117913,7.5,189054,
"The Legend of Zorro",movie,"Action, Adventure, Romance",2005,tt0386140,6,110687,
"Con Air",movie,"Action, Crime, Thriller",1997,tt0118880,6.9,328921,
Copycat,movie,"Drama, Mystery, Thriller",1995,tt0112722,6.6,69290,
"The Cider House Rules",movie,"Drama, Romance",1999,tt0124315,7.4,107034,
"Jesus Camp",movie,Documentary,2006,tt0486358,7.4,29097,
"The Piano Teacher",movie,"Drama, Music",2001,tt0254686,7.5,75535,
"Phone Booth",movie,"Crime, Thriller",2002,tt0183649,7.1,293666,
Transformers,movie,"Action, Adventure, Sci-Fi",2007,tt0418279,7.1,694159,
Sunflower,movie,"Drama, War",1970,tt0065782,7.3,4803,
"The Beach",movie,"Adventure, Drama, Romance",2000,tt0163978,6.6,260072,
"Sweet November",movie,"Drama, Romance",2001,tt0230838,6.7,96583,
"The Others",movie,"Horror, Mystery, Thriller",2001,tt0230600,7.6,407760,
Zodiac,movie,"Crime, Drama, Mystery",2007,tt0443706,7.7,630888,
"The Bow",movie,"Drama, Romance",2005,tt0456470,7.1,12011,
Bandidas,movie,"Action, Comedy, Crime",2006,tt0416496,5.7,38077,
"Death Proof",movie,"Drama, Thriller",2007,tt1028528,7,323011,
"Planet Terror",movie,"Action, Comedy, Horror",2007,tt1077258,7,227900,
"The Mourning Forest",movie,Drama,2007,tt1016205,6.7,2978,
"Secret Sunshine",movie,Drama,2007,tt0817225,7.5,10118,
Hidalgo,movie,"Action, Adventure, Biography",2004,tt0317648,6.7,87137,
Hostage,movie,"Action, Crime, Drama",2005,tt0340163,6.5,114646,
"Say Anything",movie,"Comedy, Drama, Romance",1989,tt0098258,7.3,98969,
"Training Day",movie,"Crime, Drama, Thriller",2001,tt0139654,7.8,493010,
"The Lake House",movie,"Drama, Fantasy, Romance",2006,tt0410297,6.8,161092,
"I, Robot",movie,"Action, Mystery, Sci-Fi",2004,tt0343818,7.1,593847,
"The Getaway",movie,"Action, Adventure, Crime",1994,tt0109890,5.8,20469,
"Gappa the Triphibian Monster",movie,"Action, Adventure, Comedy",1967,tt0061550,4.4,1803,
Payback,movie,"Action, Crime, Drama",1999,tt0120784,7.1,149348,
"L.A. Confidential",movie,"Crime, Drama, Mystery",1997,tt0119488,8.2,637969,
"The Perfect Storm",movie,"Action, Adventure, Drama",2000,tt0177971,6.5,182963,
"The Time Machine",movie,"Action, Adventure, Sci-Fi",2002,tt0268695,6,132962,
"Cop Land",movie,"Crime, Drama, Thriller",1997,tt0118887,7,110624,
Valkyrie,movie,"Drama, History, Thriller",2008,tt0985699,7.1,265736,
"Paris, Je T'aime",movie,"Comedy, Drama, Romance",2006,tt0401711,7.2,75389,
Big,movie,"Comedy, Drama, Fantasy",1988,tt0094737,7.3,249021,
Beowulf,movie,"Action, Adventure, Animation",2007,tt0442933,6.3,176991,
"Executive Decision",movie,"Action, Adventure, Thriller",1996,tt0116253,6.5,63269,
Taxi,movie,"Action, Comedy, Crime",1998,tt0152930,7,92402,
"10 Items or Less",movie,"Comedy, Drama",2006,tt0499603,6.5,16633,
"The Young Girls of Rochefort",movie,"Comedy, Drama, Musical",1967,tt0062873,7.7,12806,
"Joint Security Area",movie,"Action, Drama, Thriller",2000,tt0260991,7.7,36049,
"The Princess Bride",movie,"Adventure, Comedy, Family",1987,tt0093779,8,463882,
"The Bourne Identity",movie,"Action, Mystery, Thriller",2002,tt0258463,7.8,592378,
"The Bourne Supremacy",movie,"Action, Thriller",2004,tt0372183,7.7,498354,
"The Bourne Ultimatum",movie,"Action, Mystery, Thriller",2007,tt0440963,8,669588,
"The Specialist",movie,"Action, Drama, Thriller",1994,tt0111255,5.6,71425,
"Sleepy Hollow",movie,"Fantasy, Horror, Mystery",1999,tt0162661,7.3,397287,
"The Ring",movie,"Horror, Mystery",1998,tt0178868,7.2,81299,
"Addams Family Values",movie,"Comedy, Fantasy",1993,tt0106220,6.8,116308,
"The Astronaut's Wife",movie,"Drama, Sci-Fi, Thriller",1999,tt0138304,5.4,58196,
"The Addams Family",movie,"Comedy, Fantasy",1991,tt0101272,6.9,190157,
Roar,movie,"Adventure, Comedy, Thriller",1981,tt0083001,6.1,4914,
"One on Top of the Other",movie,"Drama, Horror, Mystery",1969,tt0065148,6.6,2847,
"The Searchers",movie,"Adventure, Drama, Western",1956,tt0049730,7.8,99749,
"Battle Royale",movie,"Adventure, Drama, Thriller",2000,tt0266308,7.5,200046,
"Battle Royale II",movie,"Action, Adventure, Drama",2003,tt0338763,4.6,21857,
"Good Night, and Good Luck.",movie,"Biography, Drama, History",2005,tt0433383,7.4,102714,
"Under Siege 2: Dark Territory",movie,"Action, Adventure, Thriller",1995,tt0114781,5.6,51510,
"Black Sheep",movie,"Comedy, Horror, Sci-Fi",2006,tt0779982,5.8,42673,
"Flags of Our Fathers",movie,"Action, Adventure, Drama",2006,tt0418689,7.1,131643,
Beetlejuice,movie,"Comedy, Fantasy",1988,tt0094721,7.5,400935,
"That Man from Rio",movie,"Action, Adventure, Comedy",1964,tt0058203,7,6629,
"Shoot 'Em Up",movie,"Action, Comedy, Thriller",2007,tt0465602,6.6,156972,
"Women on the Verge of a Nervous Breakdown",movie,"Comedy, Drama",1988,tt0095675,7.5,48524,
Scream,movie,"Horror, Mystery",1996,tt0117571,7.4,414198,
"Scream 2",movie,"Horror, Mystery",1997,tt0120082,6.3,221203,
"Scream 3",movie,"Horror, Mystery",2000,tt0134084,5.7,172676,
"Eat the Rich",movie,"Action, Comedy, Crime",1987,tt0092944,5.8,1655,
"The Kingdom",movie,"Action, Drama, Thriller",2007,tt0431197,7,134760,
Bordertown,movie,"Crime, Mystery, Thriller",2007,tt0445935,6,11662,
Monster-in-Law,movie,"Comedy, Romance",2005,tt0369735,5.6,67174,
"My Super Ex-Girlfriend",movie,"Comedy, Romance, Sci-Fi",2006,tt0465624,5.2,68096,
"The Devil's Own",movie,"Action, Crime, Drama",1997,tt0118972,6.2,74180,
"Jamón, Jamón",movie,"Comedy, Drama, Romance",1992,tt0104545,6.4,15661,
"The Assassination of Jesse James by the Coward Robert Ford",movie,"Biography, Crime, Drama",2007,tt0443680,7.5,197450,
"Lady Vengeance",movie,"Crime, Drama, Thriller",2005,tt0451094,7.5,88829,
"The Machinist",movie,"Drama, Thriller",2004,tt0361862,7.6,427444,
"The Story of O",movie,Drama,1975,tt0073115,5.3,7222,
"The Sensuous Nurse",movie,Comedy,1975,tt0074682,4.8,892,
"Gone Baby Gone",movie,"Crime, Drama, Mystery",2007,tt0452623,7.6,301032,
Obsession,movie,"Drama, Mystery, Thriller",1976,tt0074991,6.7,12617,
"The Jackal",movie,"Action, Crime, Drama",1997,tt0119395,6.4,128415,
"A Boy and His Dog",movie,"Comedy, Drama, Sci-Fi",1975,tt0072730,6.4,20044,
"The Curious Case of Benjamin Button",movie,"Drama, Fantasy, Romance",2008,tt0421715,7.8,718191,
"3:10 to Yuma",movie,"Action, Crime, Drama",2007,tt0381849,7.6,341679,
"The Polar Express",movie,"Adventure, Animation, Comedy",2004,tt0338348,6.6,256456,
Teorema,movie,"Drama, Mystery",1968,tt0063678,7,15936,
"Lisa and the Devil",movie,"Horror, Mystery",1973,tt0068863,6.2,5677,
"Baron Blood",movie,Horror,1972,tt0069048,5.9,4488,
"A Bay of Blood",movie,"Horror, Mystery, Thriller",1971,tt0067656,6.5,13582,
"Le Samouraï",movie,"Crime, Drama, Thriller",1967,tt0062229,8,61982,
"Donkey Skin",movie,"Comedy, Fantasy, Musical",1970,tt0066207,7,6925,
"Sky High",movie,"Action, Adventure, Drama",2002,tt0398563,6.1,1521,
"The Towering Inferno",movie,"Action, Drama, Thriller",1974,tt0072308,7,50110,
Papillon,movie,"Biography, Crime, Drama",1973,tt0070511,8,141742,
"The Umbrellas of Cherbourg",movie,"Drama, Musical, Romance",1964,tt0058450,7.8,32989,
"The Family Man",movie,"Comedy, Drama, Fantasy",2000,tt0218967,6.8,125726,
"Coyote Ugly",movie,"Comedy, Drama, Music",2000,tt0200550,5.8,124228,
"Three Kings",movie,"Action, Adventure, Comedy",1999,tt0120188,7.1,183845,
"I Am Legend",movie,"Drama, Horror, Sci-Fi",2007,tt0480249,7.2,844881,
"27 Dresses",movie,"Comedy, Romance",2008,tt0988595,6.1,180292,
"Dan in Real Life",movie,"Comedy, Drama, Romance",2007,tt0480242,6.8,108844,
"The Man Without a Past",movie,"Comedy, Drama, Romance",2002,tt0311519,7.6,27547,
Equilibrium,movie,"Action, Drama, Sci-Fi",2002,tt0238380,7.3,354190,
"Running Scared",movie,"Action, Crime, Drama",2006,tt0404390,7.3,105024,
Juno,movie,"Comedy, Drama",2007,tt0467406,7.4,560873,
"Sleeping with the Enemy",movie,"Drama, Thriller",1991,tt0102945,6.3,68170,
xXx,movie,"Action, Adventure, Drama",2002,tt0295701,5.8,189673,
"The Hitchhiker's Guide to the Galaxy",movie,"Adventure, Comedy, Sci-Fi",2005,tt0371724,6.7,212116,
"Speed Racer",movie,"Action, Adventure, Comedy",2008,tt0811080,6.1,80371,
Shooter,movie,"Action, Drama, Thriller",2007,tt0822854,7.1,365199,
"Ghost Train",movie,Horror,2006,tt0819839,4.9,931,
"Fun with Dick and Jane",movie,"Comedy, Crime",2005,tt0369441,6.2,158065,
"10,000 BC",movie,"Action, Adventure, Drama",2008,tt0443649,5.1,137332,
Shine,movie,"Biography, Drama, Music",1996,tt0117631,7.6,57743,
"Before the Devil Knows You're Dead",movie,"Crime, Drama, Thriller",2007,tt0292963,7.3,116243,
"The Match Factory Girl",movie,"Comedy, Crime, Drama",1990,tt0098532,7.5,12666,
"The Three Burials of Melquiades Estrada",movie,"Adventure, Crime, Drama",2005,tt0419294,7.3,42475,
"Band of Outsiders",movie,"Comedy, Crime, Drama",1964,tt0057869,7.6,27896,
Alien³,movie,"Action, Horror, Sci-Fi",1992,tt0103644,6.4,338868,
"Alien Resurrection",movie,"Action, Horror, Sci-Fi",1997,tt0118583,6.2,280465,
"Napoleon Dynamite",movie,Comedy,2004,tt0374900,7,245862,
"Æon Flux",movie,"Action, Adventure, Sci-Fi",2005,tt0402022,5.4,134767,
"Drifting Clouds",movie,"Comedy, Drama",1996,tt0116752,7.6,9828,
Kika,movie,Comedy,1993,tt0107315,6.5,15549,
"Step Up 2: The Streets",movie,"Drama, Music, Romance",2008,tt1023481,6.2,92694,
REC,movie,"Horror, Mystery, Thriller",2007,tt1038988,7.4,205937,
"Cast Away",movie,"Adventure, Drama, Romance",2000,tt0162222,7.8,661795,
"Transformers: Revenge of the Fallen",movie,"Action, Adventure, Sci-Fi",2009,tt1055369,6,439973,
"The Boondock Saints",movie,"Action, Crime, Thriller",1999,tt0144117,7.6,256257,
"A Man Apart",movie,"Action, Crime, Drama",2003,tt0266465,6,50241,
"The Conformist",movie,Drama,1970,tt0065571,7.9,36573,
"Swallowtail Butterfly",movie,"Crime, Drama",1996,tt0117797,7.5,4630,
"Dangerous Beauty",movie,"Biography, Drama, Romance",1998,tt0118892,7.1,20156,
"Deep Impact",movie,"Action, Drama, Sci-Fi",1998,tt0120647,6.3,196223,
"K-19: The Widowmaker",movie,"Drama, History, Thriller",2002,tt0267626,6.7,69447,
Taken,movie,"Action, Crime, Thriller",2008,tt0936501,7.7,652466,
"Cannibals in the Streets",movie,"Drama, Fantasy, Horror",1980,tt0080379,5.5,4568,
"The Final Countdown",movie,"Action, Adventure, Sci-Fi",1980,tt0080736,6.7,28305,
"Hellraiser: Bloodline",movie,"Horror, Sci-Fi",1996,tt0116514,5.1,25664,
"The Road Warrior",movie,"Action, Adventure, Sci-Fi",1981,tt0082694,7.6,206818,
"Conspiracy Theory",movie,"Action, Drama, Mystery",1997,tt0118883,6.7,110213,
"Under Siege",movie,"Action, Thriller",1992,tt0105690,6.5,98528,
"Red Planet",movie,"Action, Sci-Fi, Thriller",2000,tt0199753,5.7,60780,
"Che: Part Two",movie,"Biography, Drama, History",2008,tt0374569,6.8,35677,
"Che: Part One",movie,"Biography, Drama, History",2008,tt0892255,7.1,48784,
