title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Shooter,movie,"Action, Drama, Thriller",2007,tt0822854,7.1,364586,
"Ghost Train",movie,Horror,2006,tt0819839,4.9,930,
"Fun with Dick and Jane",movie,"Comedy, Crime",2005,tt0369441,6.2,157768,
Rambo,movie,"Action, Thriller",2008,tt0462499,7,249870,
"10,000 BC",movie,"Action, Adventure, Drama",2008,tt0443649,5.1,137188,
Shine,movie,"Biography, Drama, Music",1996,tt0117631,7.6,57652,
"Before the Devil Knows You're Dead",movie,"Crime, Drama, Thriller",2007,tt0292963,7.3,115807,
"The Match Factory Girl",movie,"Comedy, Crime, Drama",1990,tt0098532,7.5,12582,
"The Three Burials of Melquiades Estrada",movie,"Adventure, Crime, Drama",2005,tt0419294,7.3,42415,
"Band of Outsiders",movie,"Comedy, Crime, Drama",1964,tt0057869,7.6,27830,
"Napoleon Dynamite",movie,Comedy,2004,tt0374900,7,245355,
"Æon Flux",movie,"Action, Adventure, Sci-Fi",2005,tt0402022,5.4,134631,
"Drifting Clouds",movie,"Comedy, Drama",1996,tt0116752,7.6,9767,
Kika,movie,Comedy,1993,tt0107315,6.5,15514,
"Step Up 2: The Streets",movie,"Drama, Music, Romance",2008,tt1023481,6.2,92586,
REC,movie,"Horror, Mystery, Thriller",2007,tt1038988,7.4,205419,
"My Big Fat Greek Wedding",movie,"Comedy, Drama, Romance",2002,tt0259446,6.6,147689,
"Cast Away",movie,"Adventure, Drama, Romance",2000,tt0162222,7.8,660083,
"Transformers: Revenge of the Fallen",movie,"Action, Adventure, Sci-Fi",2009,tt1055369,6,439142,
"The Boondock Saints",movie,"Action, Crime, Thriller",1999,tt0144117,7.6,255588,
"The Conformist",movie,Drama,1970,tt0065571,7.9,36326,
"Swallowtail Butterfly",movie,"Crime, Drama",1996,tt0117797,7.5,4611,
"Deep Impact",movie,"Action, Drama, Sci-Fi",1998,tt0120647,6.3,195892,
"K-19: The Widowmaker",movie,"Drama, History, Thriller",2002,tt0267626,6.7,69313,
Taken,movie,"Action, Crime, Thriller",2008,tt0936501,7.7,651285,
"Cannibals in the Streets",movie,"Drama, Fantasy, Horror",1980,tt0080379,5.5,4549,
"The Final Countdown",movie,"Action, Adventure, Sci-Fi",1980,tt0080736,6.7,28203,
"Hellraiser: Bloodline",movie,"Horror, Sci-Fi",1996,tt0116514,5.1,25590,
